class,precision,recall,f1,support,dataset,seed
ransomware,0.9986111111111111,0.9965349965349966,0.997571973638571,1443,ToN-IoT-Network,0
scanning,0.9713114754098361,0.9916317991631799,0.9813664596273292,1434,ToN-IoT-Network,0
xss,0.962187711006077,0.9820813232253618,0.9720327421555253,1451,ToN-IoT-Network,0
backdoor,0.9986885245901639,1.0,0.9993438320209974,1523,ToN-IoT-Network,1
ddos,0.9803232607167955,0.9680777238029147,0.9741620111731844,1441,ToN-IoT-Network,1
dos,0.9846547314578005,0.9771573604060914,0.9808917197452229,1576,ToN-IoT-Network,1
injection,0.9712722298221614,0.9633649932157394,0.9673024523160763,1474,ToN-IoT-Network,1
mitm,0.5540540540540541,0.5616438356164384,0.5578231292517006,73,ToN-IoT-Network,1
normal,0.9932983682983683,0.9941673957421989,0.9937326920274012,3429,ToN-IoT-Network,1
password,0.9864479315263909,0.9892703862660944,0.9878571428571429,1398,ToN-IoT-Network,1
ransomware,0.9977753058954394,1.0,0.9988864142538976,1794,ToN-IoT-Network,1
scanning,0.9824304538799414,0.9845928099779897,0.9835104433858556,1363,ToN-IoT-Network,1
xss,0.9593613933236574,0.9770879526977088,0.9681435371658733,1353,ToN-IoT-Network,1
backdoor,1.0,0.9993351063829787,0.9996674426338543,1504,ToN-IoT-Network,2
ddos,0.9821173104434907,0.9793152639087018,0.9807142857142858,1402,ToN-IoT-Network,2
dos,0.9912162162162163,0.9845637583892617,0.9878787878787879,1490,ToN-IoT-Network,2
injection,0.978909090909091,0.9817651349380014,0.9803350327749454,1371,ToN-IoT-Network,2
mitm,0.7341772151898734,0.7435897435897436,0.7388535031847133,78,ToN-IoT-Network,2
normal,0.9975932611311673,0.9957957957957958,0.9966937180643222,3330,ToN-IoT-Network,2
password,0.99527665317139,0.9925975773889637,0.9939353099730458,1486,ToN-IoT-Network,2
ransomware,0.9992721979621543,0.9985454545454545,0.9989086940705711,1375,ToN-IoT-Network,2
scanning,0.9890190336749634,0.9911958914159942,0.9901062660315134,1363,ToN-IoT-Network,2
xss,0.9731774415405777,0.9853760445682451,0.9792387543252595,1436,ToN-IoT-Network,2
Backdoor_Malware,0.0,0.0,0.0,11,CICIoT2023,0
BenignTraffic,0.4604923798358734,0.8196994991652755,0.5897012460591503,2396,CICIoT2023,0
BrowserHijacking,0.0,0.0,0.0,11,CICIoT2023,0
CommandInjection,0.0,0.0,0.0,6,CICIoT2023,0
DDoS-ACK_Fragmentation,0.2563049853372434,0.7626527050610821,0.38366988586479367,573,CICIoT2023,0
DDoS-HTTP_Flood,0.1,0.014492753623188406,0.02531645569620253,69,CICIoT2023,0
DDoS-ICMP_Flood,0.9986195109124375,0.991579634464752,0.9950871217083715,15320,CICIoT2023,0
DDoS-ICMP_Fragmentation,0.0,0.0,0.0,990,CICIoT2023,0
DDoS-PSHACK_Flood,0.9991958644457208,0.9844934917940011,0.9917901938426453,8835,CICIoT2023,0
DDoS-RSTFINFlood,0.9998824359275805,0.990104772991851,0.9949695835283107,8590,CICIoT2023,0
DDoS-SYN_Flood,0.9994061757719715,0.9616043880699349,0.9801409352978859,8751,CICIoT2023,0
DDoS-SlowLoris,0.0,0.0,0.0,58,CICIoT2023,0
DDoS-SynonymousIP_Flood,0.9990642962170833,0.9838093984467553,0.9913781668656321,7597,CICIoT2023,0
DDoS-TCP_Flood,0.9906359333196131,0.9905340055561271,0.9905849668158666,9719,CICIoT2023,0
DDoS-UDP_Flood,0.9989417989417989,0.9812889812889813,0.9900367068694285,11544,CICIoT2023,0
DDoS-UDP_Fragmentation,0.0,0.0,0.0,601,CICIoT2023,0
DNS_Spoofing,0.10869565217391304,0.2617801047120419,0.15360983102918588,382,CICIoT2023,0
DictionaryBruteForce,0.0,0.0,0.0,22,CICIoT2023,0
DoS-HTTP_Flood,0.08,0.04878048780487805,0.06060606060606061,164,CICIoT2023,0
DoS-SYN_Flood,0.9684800373569927,0.9357094518384841,0.9518127581459385,4433,CICIoT2023,0
DoS-TCP_Flood,0.9932445111653219,0.9315381907778951,0.9614022341295069,5682,CICIoT2023,0
DoS-UDP_Flood,0.9923331328923632,0.9315551792266441,0.960984131605765,7086,CICIoT2023,0
MITM-ArpSpoofing,0.1696551724137931,0.1849624060150376,0.17697841726618704,665,CICIoT2023,0
Mirai-greeth_flood,0.9308731808731808,0.8208065994500459,0.8723818801753531,2182,CICIoT2023,0
Mirai-greip_flood,0.8473186119873817,0.8315789473684211,0.839375,1615,CICIoT2023,0
Mirai-udpplain,0.9097744360902256,0.8252885624344176,0.865474552957359,1906,CICIoT2023,0
Recon-HostDiscovery,0.18357487922705315,0.13620071684587814,0.15637860082304528,279,CICIoT2023,0
Recon-OSScan,0.031746031746031744,0.010638297872340425,0.01593625498007968,188,CICIoT2023,0
Recon-PingSweep,0.0,0.0,0.0,4,CICIoT2023,0
Recon-PortScan,0.007194244604316547,0.006024096385542169,0.006557377049180328,166,CICIoT2023,0
