dataset,baseline,family,winner_score,baseline_score,outcome
ToN-IoT-Network,GaussianNB,classical_tree,0.5715400631996609,0.1837663129376909,win
ToN-IoT-Network,kNN,classical_tree,0.5715400631996609,0.9855458070424292,loss
ToN-IoT-Network,DecisionTree,classical_tree,0.5715400631996609,0.9975801392155126,loss
ToN-IoT-Network,RandomForest,classical_tree,0.5715400631996609,0.9985468428987336,loss
ToN-IoT-Network,ExtraTrees,classical_tree,0.5715400631996609,0.9948611162172828,loss
ToN-IoT-Network,GradientBoosting,classical_tree,0.5715400631996609,0.9952550478600698,loss
ToN-IoT-Network,HistGradientBoosting,classical_tree,0.5715400631996609,0.9977708727092958,loss
ToN-IoT-Network,XGBoost,classical_tree,0.5715400631996609,0.998159334338396,loss
ToN-IoT-Network,LightGBM,classical_tree,0.5715400631996609,0.9984498000910892,loss
ToN-IoT-Network,CatBoost,classical_tree,0.5715400631996609,0.9976751970558452,loss
ToN-IoT-Network,MLP,deep,0.5715400631996609,0.9298854725156724,loss
ToN-IoT-Network,1D-CNN,deep,0.5715400631996609,0.1966342075409887,win
ToN-IoT-Network,LSTM,deep,0.5715400631996609,0.9752948921949292,loss
ToN-IoT-Network,GRU,deep,0.5715400631996609,0.9712367134124202,loss
ToN-IoT-Network,CNN-LSTM,deep,0.5715400631996609,0.9274614494466598,loss
ToN-IoT-Network,CNN-BiLSTM,deep,0.5715400631996609,0.9339267262134676,loss
ToN-IoT-Network,TCN,deep,0.5715400631996609,0.5542273571308673,win
ToN-IoT-Network,TransformerEncoder,deep,0.5715400631996609,0.9683736168565436,loss
ToN-IoT-Network,FT-Transformer,deep,0.5715400631996609,0.8287801628401583,loss
ToN-IoT-Network,GCN,graph,0.5715400631996609,0.8714521820529474,loss
ToN-IoT-Network,GraphSAGE,graph,0.5715400631996609,0.9598602113122928,loss
ToN-IoT-Network,GAT,graph,0.5715400631996609,0.9300283234261342,loss
ToN-IoT-Network,Protocol-role-GAT,graph,0.5715400631996609,0.9227515711923088,loss
ToN-IoT-Network,HypergraphNN,graph,0.5715400631996609,0.831920691733254,loss
ToN-IoT-Network,DQN,rl,0.5715400631996609,0.6879244058859968,loss
ToN-IoT-Network,DoubleDQN,rl,0.5715400631996609,0.5358694656874402,win
ToN-IoT-Network,DuelingDQN,rl,0.5715400631996609,0.4882101739990226,win
ToN-IoT-Network,PPO,rl,0.5715400631996609,0.4367881548974943,win
ToN-IoT-Network,A2C,rl,0.5715400631996609,0.4367881548974943,win
ToN-IoT-Network,CQL_Offline,rl,0.5715400631996609,0.4367881548974943,win
ToN-IoT-Network,RandomAcquisition,rl,0.5715400631996609,0.504758637648716,win
ToN-IoT-Network,GreedyUncertainty,rl,0.5715400631996609,0.7743124788085431,loss
ToN-IoT-Network,GreedyCentrality,rl,0.5715400631996609,0.7743124788085431,loss
ToN-IoT-Network,StaticThreshold,rl,0.5715400631996609,0.7743124788085431,loss
ToN-IoT-Network,OracleUpperBound,rl,0.5715400631996609,1.0,loss
UNSW-NB15,LogisticRegression,classical_tree,0.6790266032408934,0.779565706326611,loss
UNSW-NB15,LinearSVM,classical_tree,0.6790266032408934,0.8784208587633053,loss
UNSW-NB15,GaussianNB,classical_tree,0.6790266032408934,0.7468122942838562,loss
UNSW-NB15,kNN,classical_tree,0.6790266032408934,0.914193809442624,loss
UNSW-NB15,DecisionTree,classical_tree,0.6790266032408934,0.9287214988400924,loss
UNSW-NB15,RandomForest,classical_tree,0.6790266032408934,0.9373281080928328,loss
UNSW-NB15,ExtraTrees,classical_tree,0.6790266032408934,0.9195167385194574,loss
UNSW-NB15,GradientBoosting,classical_tree,0.6790266032408934,0.9307548031636228,loss
UNSW-NB15,HistGradientBoosting,classical_tree,0.6790266032408934,0.9376244135145648,loss
UNSW-NB15,XGBoost,classical_tree,0.6790266032408934,0.9403481283231064,loss
UNSW-NB15,LightGBM,classical_tree,0.6790266032408934,0.9391502768572466,loss
UNSW-NB15,CatBoost,classical_tree,0.6790266032408934,0.937848112684843,loss
UNSW-NB15,MLP,deep,0.6790266032408934,0.8998103395643631,loss
UNSW-NB15,1D-CNN,deep,0.6790266032408934,0.8023439722031291,loss
UNSW-NB15,LSTM,deep,0.6790266032408934,0.8994876268130287,loss
UNSW-NB15,GRU,deep,0.6790266032408934,0.8920827677971446,loss
UNSW-NB15,CNN-LSTM,deep,0.6790266032408934,0.8710879439428525,loss
UNSW-NB15,CNN-BiLSTM,deep,0.6790266032408934,0.8748663810193595,loss
