accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,train_time_sec,inference_latency_sec_per_sample,peak_memory_MB,seed,eval_split,dataset,n_params,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate
0.9428666666666666,0.9473809926347868,0.9391502768572466,0.9433308394429714,0.9311424100156496,0.9636195752539244,0.9784038588028942,0.0363804247460757,0.0688575899843505,0.9909348681260298,0.9950187233524588,LightGBM,classical_tree,0.5256576538085938,7.540225982666015e-07,4.193031,0,test,UNSW-NB15,,,,,,,,,
0.9424666666666668,0.9392747786606784,0.937848112684843,0.94255815673087,0.95075639019301,0.9277931671283473,0.9588594276094276,0.0722068328716528,0.04924360980699,0.9901706796987252,0.9946260641949132,CatBoost,classical_tree,2.015326499938965,5.865097045898437e-07,0.843707,0,test,UNSW-NB15,,,,,,,,,
0.9067333333333332,0.9034810277485164,0.8998103395643631,0.9071318927007076,0.9151799687010954,0.8917820867959372,0.9373797820047018,0.1082179132040628,0.0848200312989045,0.9711348381661674,0.9838776172341848,MLP,deep,5.8622918128967285,5.767043431599935e-06,3.372835,0,test,UNSW-NB15,7042.0,,,,,,,,
0.8148148148148148,0.8073714666293441,0.8023439722031291,0.8161434035202575,0.8341514360313316,0.7805914972273568,0.8706126008284282,0.2194085027726432,0.1658485639686684,0.899217154191783,0.9396568790652244,1D-CNN,deep,13.685566186904907,1.2106938405079883e-05,2.902231,0,test,UNSW-NB15,7234.0,,,,,,,,
0.9064397731064398,0.9031094627008296,0.8994876268130287,0.906834921741234,0.9150913838120104,0.8911275415896488,0.937012084269062,0.1088724584103512,0.0849086161879895,0.975110842989725,0.985900534300195,LSTM,deep,20.09788703918457,1.29379747229733e-05,2.878719,0,test,UNSW-NB15,9794.0,,,,,,,,
0.8988988988988988,0.898454945150408,0.8920827677971446,0.8996210540528023,0.9000522193211489,0.8968576709796673,0.9391891891891893,0.1031423290203327,0.0999477806788511,0.9717183148892632,0.9841194268638992,GRU,deep,19.94994831085205,1.5074625228459251e-05,2.879221,0,test,UNSW-NB15,7362.0,,,,,,,,
0.8794127460794128,0.8764931492304648,0.8710879439428525,0.8801931962797154,0.8869973890339425,0.865988909426987,0.9213495335213712,0.1340110905730129,0.1130026109660574,0.9596412793251065,0.9765042840857254,CNN-LSTM,deep,23.243572473526,1.0902419422800078e-05,2.879938,0,test,UNSW-NB15,12578.0,,,,,,,,
0.8828161494828162,0.8808046215547072,0.8748663810193595,0.8836328056024405,0.8880417754569191,0.8735674676524954,0.9255469685425056,0.1264325323475046,0.1119582245430809,0.9615679213138806,0.9773756063505884,CNN-BiLSTM,deep,34.550455808639526,1.303937222745206e-05,2.881567,0,test,UNSW-NB15,21090.0,,,,,,,,
0.6670670670670671,0.6393343243099763,0.63929503931755,0.6671138213225376,0.73911227154047,0.5395563770794825,0.7396530100334449,0.4604436229205175,0.26088772845953,0.691514543708344,0.7875683109133684,TCN,deep,12.442506074905396,1.2461121654287751e-05,2.878177,0,test,UNSW-NB15,7234.0,,,,,,,,
0.8464464464464464,0.8482042731041539,0.8379146183167885,0.8482505881131891,0.8418798955613577,0.85452865064695,0.9110533453887883,0.1454713493530499,0.1581201044386423,0.9417988446113232,0.9658349470617916,TransformerEncoder,deep,31.95353889465332,1.261924002860282e-05,2.884111,0,test,UNSW-NB15,9986.0,,,,,,,,
0.7023333333333334,0.6433966680972261,0.6486561634645311,0.6868335126633893,0.8553990610328639,0.4313942751615882,0.7269906011704202,0.5686057248384119,0.1446009389671361,0.6975168861395176,0.8018685325066486,FT-Transformer,deep,47.40917348861694,1.586155891418457e-05,2.884106,0,test,UNSW-NB15,2306.0,,,,,,,,
0.8291333333333334,0.8311114868135663,0.8201126789473518,0.831311288292259,0.8239958268127282,0.8382271468144045,0.900159562343287,0.1617728531855955,0.1760041731872717,0.9083433881907084,0.950278981504043,GCN,graph,5.039054870605469,6.439415613810221e-06,1.219971,0,test,UNSW-NB15,5922.0,,,,,,,,
0.8136,0.839685450344418,0.8098952073847472,0.8172729462603939,0.7458528951486698,0.9335180055401662,0.9520575309628446,0.0664819944598338,0.2541471048513302,0.9148906007434092,0.9565098824591362,GraphSAGE,graph,4.847632646560669,5.878766377766927e-06,1.055979,0,test,UNSW-NB15,8290.0,,,,,,,,
0.8369333333333333,0.8549704712320295,0.8319143218783287,0.8399888889182088,0.7900886802295253,0.9198522622345338,0.9457974272511552,0.0801477377654663,0.2099113197704747,0.9298816392765128,0.9607462408930189,GAT,graph,7.578996181488037,9.071270624796547e-06,1.090346,0,test,UNSW-NB15,8546.0,,,,,,,,
0.8350666666666666,0.8532286568492725,0.8300465561606873,0.8381667504236562,0.7878977569118414,0.9185595567867036,0.94482672338296,0.0814404432132964,0.2121022430881586,0.9365214095007446,0.9646701489156266,Protocol-role-GAT,graph,9.149656772613524,1.0942967732747396e-05,1.113024,0,test,UNSW-NB15,14050.0,,,,,,,,
0.8597333333333333,0.8468602112314805,0.8476399574233819,0.8595730803633955,0.8931664058424622,0.8005540166204986,0.8879784254745359,0.1994459833795014,0.1068335941575378,0.9254696690109536,0.9378473216900208,HypergraphNN,graph,5.775050401687622,8.359670639038087e-06,1.282829,0,test,UNSW-NB15,5922.0,,,,,,,,
0.5435378452456251,0.5267026704387987,0.526723348724073,0.5420331923130478,0.6247975526363145,0.4286077882412827,0.6073115270246633,0.5713922117587172,0.3752024473636854,0.8795101947456502,0.900754695583998,DQN,rl,,,,0,test,UNSW-NB15,,-5186.695382257865,-22.071044179820703,0.384,2.625531914893617,0.0424666666666666,0.1876,0.0002,0.3466
0.7583110016658217,0.6418320307244636,0.6465461973253618,0.7133258118713939,0.9885069933861,0.2951570680628272,0.7383381924198251,0.7048429319371727,0.0114930066139,0.8528090767844786,0.9134106277816508,DoubleDQN,rl,,,,0,test,UNSW-NB15,,6103.95402476571,25.97427244581153,0.2777333333333333,7.5702127659574465,0.0298666666666666,0.457,0.0255333333333333,0.2062
0.6559552916521132,0.5744718038601934,0.5596925471783791,0.6117309979384579,0.8968401486988847,0.252103459021502,0.6678200692041523,0.747896540978498,0.1031598513011152,0.8923454422448017,0.9236180332324984,DuelingDQN,rl,,,,0,test,UNSW-NB15,,-12760.179619487306,-54.29863667866939,1.244,7.2893617021276595,0.2085333333333333,0.0171333333333333,0.0603333333333333,1.5813333333333333
0.639,0.5,0.3898718730933496,0.4982562538133007,1.0,0.0,0.639,1.0,0.0,0.863929356378344,0.9091661322472284,PPO,rl,,,,0,test,UNSW-NB15,,4560.600000000001,19.406808510638303,0.0,0.0,0.0,0.6218,0.0,0.0
0.639,0.5,0.3898718730933496,0.4982562538133007,1.0,0.0,0.639,1.0,0.0,0.8696008065079371,0.9133834431322116,A2C,rl,,,,0,test,UNSW-NB15,,4187.999999999995,17.82127659574466,0.0,0.0,0.0,0.0,0.0,0.0
0.639,0.5,0.3898718730933496,0.4982562538133007,1.0,0.0,0.639,1.0,0.0,0.8696008065079371,0.9133834431322116,CQL_Offline,rl,,,,0,test,UNSW-NB15,,4187.999999999995,17.82127659574466,0.0,0.0,0.0,0.0,0.0,0.0
0.5597525955378838,0.5190330211393994,0.5190470935922777,0.5569399906198502,0.6693898835390231,0.3686761587397758,0.6488626790227464,0.6313238412602242,0.3306101164609769,0.8548364029399095,0.9038931763326432,RandomAcquisition,rl,,,,0,test,UNSW-NB15,,-11347.826731285508,-48.288624388448966,0.8184666666666667,8.0,0.1864666666666666,0.1856,0.1838666666666666,0.8000666666666667
0.8026666666666666,0.7648880045431097,0.7753809599626882,0.797144807888394,0.9007824726134586,0.6289935364727608,0.8112374330545898,0.3710064635272391,0.0992175273865414,0.8696008065079371,0.9133834431322116,GreedyUncertainty,rl,,,,0,test,UNSW-NB15,,5984.820443636491,25.467321036751027,0.1253333333333333,8.0,0.0,0.0,0.0,0.0
0.8026666666666666,0.7648880045431097,0.7753809599626882,0.797144807888394,0.9007824726134586,0.6289935364727608,0.8112374330545898,0.3710064635272391,0.0992175273865414,0.8696008065079371,0.9133834431322116,GreedyCentrality,rl,,,,0,test,UNSW-NB15,,5847.996464120351,24.885091336682347,0.1253333333333333,8.0,0.0,0.0,0.0,0.0
