dataset,seed,mode,split,reward_weights,accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,calibration_violation_rate,commit_rate
UNSW-NB15,2,Mode2_ValidationTunedReward,val,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9408,0.939106649947736,0.9361002059300391,0.9409940917904998,0.9451029320024953,0.9331103678929766,0.9619047619047619,0.06688963210702341,0.05489706799750468,0.9895126496607416,0.9943135812177695,9093.540000000006,77.0638983050848,0.0,0.0,0.0,0.0,0.0001333155579256099,0.0,0.03586188508198907,0.9998666844420744
UNSW-NB15,2,Mode2_ValidationTunedReward,test,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9421333333333334,0.93966284523318,0.9374412418545806,0.9422749641374631,0.9484193011647255,0.9309063893016345,0.9608091024020228,0.06909361069836553,0.051580698835274545,0.9901971979588254,0.9946506196595146,9167.050000000003,77.68686440677969,0.0,0.0,0.0,0.0,0.0,0.0,0.033466666666666665,1.0
ToN-IoT-Network,0,Mode1_CommonDefaultReward,val,None,0.9987407303763817,0.9976210709891482,0.9980178882786394,0.9987402279374816,0.9994764397905759,0.9957657021877205,0.998953427524856,0.004234297812279464,0.0005235602094240838,0.999943715122158,0.999985926779057,12359.28000000002,110.35071428571447,0.0,0.0,0.0,0.0,0.0,0.0,0.0006995942353435008,1.0
ToN-IoT-Network,0,Mode1_CommonDefaultReward,test,None,0.997545008183306,0.9961587245256731,0.9963844676097324,0.9975444494252061,0.9986067572274469,0.9937106918238994,0.9982590529247911,0.006289308176100629,0.0013932427725531174,0.9997797318226725,0.9999493600004092,12402.33000000002,107.84634782608713,0.0,0.0,0.0,0.0,0.0,0.0,0.0004091653027823241,1.0
ToN-IoT-Network,0,Mode2_ValidationTunedReward,val,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9987407303763817,0.9976210709891482,0.9980178882786394,0.9987402279374816,0.9994764397905759,0.9957657021877205,0.998953427524856,0.004234297812279464,0.0005235602094240838,0.999943715122158,0.999985926779057,12359.28000000002,110.35071428571447,0.0,0.0,0.0,0.0,0.0,0.0,0.0006995942353435008,1.0
ToN-IoT-Network,0,Mode2_ValidationTunedReward,test,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.997545008183306,0.9961587245256731,0.9963844676097324,0.9975444494252061,0.9986067572274469,0.9937106918238994,0.9982590529247911,0.006289308176100629,0.0013932427725531174,0.9997797318226725,0.9999493600004092,12402.33000000002,107.84634782608713,0.0,0.0,0.0,0.0,0.0,0.0,0.0004091653027823241,1.0
ToN-IoT-Network,1,Mode1_CommonDefaultReward,val,None,0.9983707231482641,0.9978601657210253,0.9980437651419041,0.99837042245114,0.999110161950525,0.9966101694915255,0.9985770188545002,0.003389830508474576,0.0008898380494749955,0.999724602664688,0.9998981655998642,12387.210000000023,99.09768000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0005013159543802481,1.0
ToN-IoT-Network,1,Mode1_CommonDefaultReward,test,None,0.9973735139618468,0.9948357899087825,0.9959558847003149,0.997370535053756,0.9991310392770246,0.9905405405405405,0.9975707096998091,0.00945945945945946,0.0008689607229753215,0.9997868697686216,0.9999436210743713,12403.110000000022,108.79921052631599,0.0,0.0,0.0,0.0,0.0,0.0,0.0006911805363560963,1.0
ToN-IoT-Network,1,Mode2_ValidationTunedReward,val,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,3076.710000000004,24.613680000000034,0.0,0.0,0.011780924927935832,0.0,0.7975936834189749,0.0,0.0,0.19062539165308937
ToN-IoT-Network,1,Mode2_ValidationTunedReward,test,"{'c_isolate_benign': 1.2, 'r_isolate_malicious': 0.6, 'w_fp': 1.5}",0.9993485342019544,0.5,0.4998370804822418,0.9990229074394253,1.0,0.0,0.9993485342019544,1.0,0.0,0.9941329856584094,0.9999961678438742,3021.160000000003,26.501403508771958,0.0,0.0,0.04368260989770528,0.0,0.7441249654409732,0.0,0.0,0.21219242466132154
ToN-IoT-Network,2,Mode1_CommonDefaultReward,val,None,0.9963211772232885,0.995061901206918,0.9953380891981916,0.9963201499630743,0.9978070175438597,0.9923167848699763,0.9971509971509972,0.0076832151300236405,0.0021929824561403508,0.9998497832939321,0.9999421879251378,9934.070000000016,86.38321739130448,0.0,0.0,0.0,0.0,0.14799672935404742,0.0,0.0009539384028345599,0.8520032706459526
