accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,component,split,note,train_time_sec
0.9134666666666666,0.8958281816191354,0.9041788739762715,0.9124205469760568,0.9096850861556743,0.9596740493104889,0.9596740493104889,0.16801768607221812,0.04032595068951107,0.9749107412586637,0.9866838010742327,0.495,2258,456,193,4593,UNSW-NB15,0,No_HardClassMining,test,,6.838424444198608
0.9126783095587255,0.8976788877516007,0.9038919819862521,0.9119228713415155,0.9146928944199116,0.9519532066012116,0.9519532066012116,0.15659543109801033,0.04804679339878839,0.9730965435588496,0.985068860282615,0.405,2289,425,230,4557,UNSW-NB15,0,PlainKD_NoHardClassExtras,val,,3.108126640319824
0.916,0.9025986503868906,0.9078215043514883,0.9154069309332772,0.919967663702506,0.9511073965733389,0.9511073965733389,0.14591009579955785,0.048892603426661095,0.9755579325723118,0.9871453619926381,0.405,2318,396,234,4552,UNSW-NB15,0,PlainKD_NoHardClassExtras,test,,3.108126640319824
0.9414744700706572,0.9318546870749388,0.9360316845811378,0.941173475077864,0.9429153924566769,0.9667642140468228,0.9667642140468228,0.10305483989694517,0.033235785953177256,0.9896354305789264,0.994291943025259,0.42500000000000004,2437,280,159,4625,UNSW-NB15,1,Full_AegisGraphX_backbone,val,,
0.9414666666666667,0.931994873683018,0.9360378741262274,0.9411759715969955,0.9432768822689247,0.9663461538461539,0.9663461538461539,0.10235640648011782,0.03365384615384615,0.9905889507735653,0.9948088046990726,0.42500000000000004,2438,278,161,4623,UNSW-NB15,1,Full_AegisGraphX_backbone,test,,
0.9425409945340621,0.935076150965739,0.9374705152100464,0.942377200960393,0.9484854729033587,0.9621655518394648,0.9621655518394648,0.09201324990798675,0.03783444816053512,0.9897428691270004,0.9943542547926676,0.445,2467,250,181,4603,UNSW-NB15,1,No_ExpertEnsemble_BestSingleExpert,val,XGBoost,
0.942,0.9341636764177105,0.9368332091779168,0.9418145254576687,0.9473359391071796,0.9625836120401338,0.9625836120401338,0.09425625920471281,0.037416387959866224,0.9904381812718881,0.9947271731576687,0.445,2460,256,179,4605,UNSW-NB15,1,No_ExpertEnsemble_BestSingleExpert,test,XGBoost,
0.9409412078389549,0.9315956497735673,0.9354926185924877,0.9406587809651701,0.9432305493159077,0.965510033444816,0.965510033444816,0.10231873389768127,0.034489966555183944,0.988923097233694,0.9938467050345643,0.465,2439,278,165,4619,UNSW-NB15,1,No_MoERouter_EqualWeight,val,,
0.9404,0.9311587532816803,0.9349163981964048,0.9401254420778172,0.9431841406090333,0.9646739130434783,0.9646739130434783,0.10235640648011782,0.035326086956521736,0.9899450826515483,0.9944471387805571,0.465,2438,278,169,4615,UNSW-NB15,1,No_MoERouter_EqualWeight,test,,
0.9408078922810292,0.9304574858779664,0.9352091209660701,0.9404574929878481,0.9408776919951239,0.9680183946488294,0.9680183946488294,0.10710342289289658,0.03198160535117057,0.9896279679658486,0.9942839053684702,0.35500000000000004,2426,291,153,4631,UNSW-NB15,1,No_GraphBranch,val,,
0.9406666666666667,0.9310494665576468,0.9351526611278587,0.9403666361869601,0.9424841933510096,0.9659280936454849,0.9659280936454849,0.10382916053019146,0.03407190635451505,0.9905577809684711,0.9948038366555547,0.35500000000000004,2434,282,163,4621,UNSW-NB15,1,No_GraphBranch,test,,
0.9414744700706572,0.9373409771007024,0.9367502725234041,0.9415136463430003,0.9557373610237047,0.9523411371237458,0.9523411371237458,0.07765918292234082,0.047658862876254184,0.9896330456201078,0.9942875057661189,0.44,2506,211,228,4556,UNSW-NB15,1,No_TemporalBranch,val,,
