baseline,dataset,metric,n_paired_seeds,winner_mean,baseline_mean,t_stat,p_ttest,wilcoxon_stat,p_wilcoxon,cohens_d,p_ttest_holm,p_wilcoxon_holm
LightGBM,UNSW-NB15,macro_f1,3,0.6457648104174395,0.9393008061579668,-12.1978241760921,0.006654013147974343,0.0,0.25,-10.017858006622818,0.21840423761767463,1.0
CatBoost,UNSW-NB15,macro_f1,3,0.6457648104174395,0.936973640658942,-12.417062947118795,0.00642335671371094,0.0,0.25,-9.937888243816202,0.21840423761767463,1.0
MLP,UNSW-NB15,macro_f1,3,0.6457648104174395,0.8854491600280202,-13.513903455541035,0.005431115863740337,0.0,0.25,-7.7840347237473955,0.19552017109465214,1.0
1D-CNN,UNSW-NB15,macro_f1,3,0.6457648104174395,0.7996979201583456,-6.489792060147114,0.022929678165562427,0.0,0.25,-4.702788130858766,0.3439451724834364,1.0
LSTM,UNSW-NB15,macro_f1,3,0.6457648104174395,0.9031610197223863,-9.868929389119861,0.010111916010577215,0.0,0.25,-8.732773924568008,0.24268598425385315,1.0
GRU,UNSW-NB15,macro_f1,3,0.6457648104174395,0.8945339600680465,-9.863622806810493,0.010122634569624258,0.0,0.25,-8.477999423934039,0.24268598425385315,1.0
CNN-LSTM,UNSW-NB15,macro_f1,3,0.6457648104174395,0.8698520025192668,-9.235685428481426,0.011521402556215365,0.0,0.25,-7.544298712018124,0.24268598425385315,1.0
CNN-BiLSTM,UNSW-NB15,macro_f1,3,0.6457648104174395,0.8782302414361561,-9.056579878024639,0.011973376806622226,0.0,0.25,-7.913342114798399,0.24268598425385315,1.0
TCN,UNSW-NB15,macro_f1,3,0.6457648104174395,0.6595215939312418,-0.4077632556446092,0.7229541124412584,3.0,1.0,-0.42733463381754494,1.0,1.0
TransformerEncoder,UNSW-NB15,macro_f1,3,0.6457648104174395,0.8453899270013209,-7.294993051965162,0.018277421682168705,0.0,0.25,-6.671470704613221,0.310716168596868,1.0
FT-Transformer,UNSW-NB15,macro_f1,3,0.6457648104174395,0.648757124423886,-0.12593530331965205,0.9113012823595212,3.0,1.0,-0.10187385520088311,1.0,1.0
GCN,UNSW-NB15,macro_f1,3,0.6457648104174395,0.8102579804628219,-8.772717633257853,0.012745775548479756,0.0,0.25,-5.474539161317787,0.24268598425385315,1.0
GraphSAGE,UNSW-NB15,macro_f1,3,0.6457648104174395,0.8331508362847199,-5.204506204744221,0.03499197504052381,0.0,0.25,-5.70149115431738,0.3810487131195796,1.0
GAT,UNSW-NB15,macro_f1,3,0.6457648104174395,0.8373582434875134,-6.183940034260641,0.025166892711542554,0.0,0.25,-5.762721322781157,0.3523364979615958,1.0
Protocol-role-GAT,UNSW-NB15,macro_f1,3,0.6457648104174395,0.8379071124597853,-6.757315093955086,0.02120623215543869,0.0,0.25,-6.413906882917272,0.33929971448701907,1.0
HypergraphNN,UNSW-NB15,macro_f1,3,0.6457648104174395,0.8419541050268539,-9.369878586208662,0.011199235513003131,0.0,0.25,-6.641743774019623,0.24268598425385315,1.0
DQN,UNSW-NB15,macro_f1,3,0.6457648104174395,0.6259854809294044,0.26456524017077837,0.816114214088715,3.0,1.0,0.27756945447846143,1.0,1.0
DoubleDQN,UNSW-NB15,macro_f1,3,0.6457648104174395,0.5303821717060185,3.273243418191203,0.08201600800493807,0.0,0.25,1.47655578193438,0.49209604802962836,1.0
DuelingDQN,UNSW-NB15,macro_f1,3,0.6457648104174395,0.573015235496631,0.6375489340392234,0.589017414098993,2.0,0.75,0.5443739151271352,1.0,1.0
PPO,UNSW-NB15,macro_f1,3,0.6457648104174395,,,,,,,1.0,1.0
A2C,UNSW-NB15,macro_f1,3,0.6457648104174395,0.39000418515535823,10.660957387741378,0.008684035807541164,0.0,0.25,8.730011771467499,0.22578493099607025,1.0
CQL_Offline,UNSW-NB15,macro_f1,3,0.6457648104174395,0.39000418515535823,10.660957387741378,0.008684035807541164,0.0,0.25,8.730011771467499,0.22578493099607025,1.0
RandomAcquisition,UNSW-NB15,macro_f1,3,0.6457648104174395,0.5227033813923153,4.7843831621100295,0.04101747427271024,0.0,0.25,4.188319222133091,0.3810487131195796,1.0
