accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_benign,recall_benign,f1_benign,precision_attack,recall_attack,f1_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,threshold_key,tn,fp,fn,tp,dataset,seed,candidate,split,n_experts,latency_sec,peak_memory_MB,row_cap,post_determinism_fix,rl_train_time_sec,eval_latency_sec,n_rl_params,attack_recall,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,calibration_violation_rate,commit_rate
0.9414705686287581,0.9339755391529019,0.9362175744404122,0.9413143820419733,,,,0.9482350519707728,,,0.9070583887657059,0.09294161123429416,0.03910731045990197,0.9904839841352462,0.9947328156377315,,,,,,,UNSW-NB15,5,B_BudgetedRLInvestigation,val,9,303.23625469207764,0.482719,100000,True,14.85499382019043,7.114340543746948,9875.0,0.960892689540098,23688.91999999999,100.80391489361698,0.0,0.0,0.0,0.6448903406439571,0.0,0.0,0.007732817812145857,0.2581827878141457
0.9451333333333334,0.9386121741237892,0.9402926773154769,0.9450256624549216,,,,0.9525973355365073,,,0.9151884700665188,0.08481152993348115,0.03796412181894034,0.9913134751156363,0.9952096053030509,,,,,,,UNSW-NB15,5,B_BudgetedRLInvestigation,test,9,303.23625469207764,0.482719,100000,True,14.85499382019043,7.447588682174683,9875.0,0.9620358781810596,23865.05999999999,101.5534468085106,0.0,0.0,0.0,0.6406666666666667,0.0,0.0,0.007066666666666666,0.2833333333333333
0.9425041736227046,0.9349060588730809,0.937316521880524,0.9423391995538376,,,,0.9486096807415036,,,0.9076268048870788,0.09237319511292114,0.03781468714091716,0.9906612308551839,0.9948319837140289,,,,,,,UNSW-NB15,5,C_SafetyShieldedRL,val,9,303.23625469207764,0.482719,100000,True,14.85499382019043,7.449828147888184,9875.0,0.9621853128590828,23721.939999999984,100.94442553191483,0.0,0.0,0.001733217785480968,0.6448903406439571,0.0,0.0,0.005999600026664889,0.25658289447370175
0.946084981293426,0.9395101983079545,0.941306120139223,0.9459719714651481,,,,0.9530506721820062,,,0.9159103537692165,0.08408964623078348,0.036889957153307555,0.9915070991479381,0.9953184272139912,,,,,,,UNSW-NB15,5,C_SafetyShieldedRL,test,9,303.23625469207764,0.482719,100000,True,14.85499382019043,6.875877380371094,9875.0,0.9631100428466924,23880.709999999992,101.62004255319145,0.0,0.0,0.0021333333333333334,0.6406,0.0,0.0,0.005,0.28126666666666666
0.9982324058919804,0.9983598346277485,0.9975361611697388,0.998233863547187,0.9938650306748467,0.9985990473521995,0.9962264150943396,0.9995722474120968,0.9981206219032974,0.9988459072451379,0.9981206219032974,0.0014009526478005044,0.0018793780967025456,0.9999676868943357,0.9999901800779012,0.51,temperature,3564.0,5.0,22.0,11684.0,ToN-IoT-Network,5,A_TreeGuidedGraphMoE,val,9,258.25992941856384,951.772522,100000,True,,,,,,,,,,,,,,
0.9972517792967374,0.9971457165328378,0.9958528830592511,0.9972553435797983,0.9899497487437185,0.9969635627530364,0.9934442763489663,0.9991968588256291,0.9973278703126391,0.998261489769536,0.9973278703126391,0.003036437246963563,0.0026721296873608268,0.9999241514245287,0.9999799015539935,0.51,temperature,2955.0,9.0,30.0,11197.0,ToN-IoT-Network,5,A_TreeGuidedGraphMoE,test,9,258.25992941856384,951.772522,100000,True,,,,,,,,,,,,,,
0.9980360065466448,0.9979395488334083,0.9972616041295332,0.9980373412301163,,,,0.9993157714676703,,,0.9977584757635192,0.002241524236480807,0.0018793780967025456,0.9999676868943358,0.9999901800779012,,,,,,,ToN-IoT-Network,5,B_BudgetedRLInvestigation,val,9,271.9454810619354,0.48276,100000,True,13.685551643371582,6.603855133056641,9747.0,0.9981206219032974,32232.34999999998,134.86338912133883,0.0,0.0,0.0,0.7653682487725041,0.0,0.0,0.0001309328968903437,0.2241571194762684
0.9971108449016982,0.9964358682263826,0.9956358959292692,0.9971131690637154,,,,0.9987515605493134,,,0.99527665317139,0.004723346828609987,0.002404916718624744,0.9999241514245288,0.9999799015539935,,,,,,,ToN-IoT-Network,5,B_BudgetedRLInvestigation,test,9,271.9454810619354,0.48276,100000,True,13.685551643371582,5.876174688339233,9747.0,0.9975950832813753,30737.09,138.45536036036037,0.0,0.0,0.0,0.7901486857867662,0.0,0.0,0.0,0.19942216898033965
0.9980360065466448,0.9979395488334083,0.9972616041295332,0.9980373412301163,,,,0.9993157714676703,,,0.9977584757635192,0.002241524236480807,0.0018793780967025456,0.9999676868943358,0.9999901800779012,,,,,,,ToN-IoT-Network,5,C_SafetyShieldedRL,val,9,271.9454810619354,0.48276,100000,True,13.685551643371582,6.289061069488525,9747.0,0.9981206219032974,32232.34999999998,134.86338912133883,0.0,0.0,0.0,0.7653682487725041,0.0,0.0,0.0001309328968903437,0.2241571194762684
0.9971108449016982,0.9964358682263826,0.9956358959292692,0.9971131690637154,,,,0.9987515605493134,,,0.99527665317139,0.004723346828609987,0.002404916718624744,0.9999241514245288,0.9999799015539935,,,,,,,ToN-IoT-Network,5,C_SafetyShieldedRL,test,9,271.9454810619354,0.48276,100000,True,13.685551643371582,5.697205543518066,9747.0,0.9975950832813753,30737.09,138.45536036036037,0.0,0.0,0.0,0.7901486857867662,0.0,0.0,0.0,0.19942216898033965
0.9949954959463517,0.9645370327456906,0.9471075514360877,0.9950891904078722,0.8636182902584493,0.9325890940317733,0.8967795210569777,0.998388007597926,0.9964849714596079,0.9974355818151978,0.9964849714596079,0.0674109059682267,0.0035150285403920847,0.9988026417431837,0.9999716608244543,0.32,temperature,2172.0,157.0,343.0,97238.0,CICIoT2023,5,A_TreeGuidedGraphMoE,val,9,435.2600750923157,4130.011475,100000,True,,,,,,,,,,,,,,
0.9946554036471366,0.9600469495252384,0.9438050122436733,0.9947495670755171,0.8592944906856916,0.9237324243715381,0.8903490759753594,0.998162047827828,0.9963614746789385,0.9972609485119872,0.9963614746789385,0.07626757562846187,0.0036385253210614245,0.9987447298350461,0.9999700664108809,0.32,temperature,2168.0,179.0,355.0,97212.0,CICIoT2023,5,A_TreeGuidedGraphMoE,test,9,435.2600750923157,4130.011475,100000,True,,,,,,,,,,,,,,
0.9766890201181063,0.5,0.4941035287683996,0.9651709826994134,,,,0.9766890201181063,,,0.0,1.0,0.0,0.9988026417431837,0.9999716608244323,,,,,,,CICIoT2023,5,B_BudgetedRLInvestigation,val,9,449.3432276248932,0.516649,100000,True,14.083152532577515,43.79936504364014,10131.0,1.0,256181.29999999935,164.0085147247115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
