dataset,model,macro_f1,winner,diff,outcome
CICIoT2023,MLP,0.8180759072643334,0.4651761767635844,-0.352899730500749,loss
CICIoT2023,OracleUpperBound,1.0,0.4651761767635844,-0.5348238232364155,loss
CICIoT2023,PPO,0.49390368204033946,0.4651761767635844,-0.02872750527675505,loss
CICIoT2023,Protocol-role-GAT,0.8302238835952086,0.4651761767635844,-0.3650477068316242,loss
CICIoT2023,RandomAcquisition,0.41914596049586433,0.4651761767635844,0.04603021626772008,win
CICIoT2023,RandomForest,0.9394439081089759,0.4651761767635844,-0.4742677313453915,loss
CICIoT2023,StaticThreshold,0.46154130486516265,0.4651761767635844,0.0036348718984217654,tie
CICIoT2023,TCN,0.7598933179415077,0.4651761767635844,-0.2947171411779233,loss
CICIoT2023,TransformerEncoder,0.8579006895600286,0.4651761767635844,-0.3927245127964442,loss
CICIoT2023,XGBoost,0.9563337860176446,0.4651761767635844,-0.4911576092540602,loss
CICIoT2023,kNN,0.8670032250460563,0.4651761767635844,-0.4018270482824719,loss
ToN-IoT-Network,1D-CNN,0.4286147389131639,0.5715400631996609,0.142925324286497,win
ToN-IoT-Network,A2C,0.4404386725485728,0.5715400631996609,0.1311013906510881,win
ToN-IoT-Network,CNN-BiLSTM,0.9407589537470585,0.5715400631996609,-0.36921889054739765,loss
ToN-IoT-Network,CNN-LSTM,0.9295052039028401,0.5715400631996609,-0.3579651407031792,loss
ToN-IoT-Network,CQL_Offline,0.5684744396765243,0.5715400631996609,0.0030656235231365514,tie
ToN-IoT-Network,CatBoost,0.9971299923286496,0.5715400631996609,-0.42558992912898874,loss
ToN-IoT-Network,DQN,0.5240104239897719,0.5715400631996609,0.04752963920988895,win
ToN-IoT-Network,DecisionTree,0.9967221844514987,0.5715400631996609,-0.42518212125183785,loss
ToN-IoT-Network,DoubleDQN,0.5105186404074346,0.5715400631996609,0.06102142279222633,win
ToN-IoT-Network,DuelingDQN,0.38124919408924557,0.5715400631996609,0.19029086911041532,win
ToN-IoT-Network,ExtraTrees,0.9936492763238908,0.5715400631996609,-0.4221092131242299,loss
ToN-IoT-Network,FT-Transformer,0.8121458865506997,0.5715400631996609,-0.24060582335103886,loss
ToN-IoT-Network,GAT,0.9138397336755079,0.5715400631996609,-0.342299670475847,loss
ToN-IoT-Network,GCN,0.889875879010498,0.5715400631996609,-0.31833581581083714,loss
ToN-IoT-Network,GRU,0.9670385240606564,0.5715400631996609,-0.3954984608609955,loss
ToN-IoT-Network,GaussianNB,0.392342432093762,0.5715400631996609,0.17919763110589887,win
ToN-IoT-Network,GradientBoosting,0.9943631123322082,0.5715400631996609,-0.4228230491325473,loss
ToN-IoT-Network,GraphSAGE,0.9624548615134233,0.5715400631996609,-0.3909147983137624,loss
ToN-IoT-Network,GreedyCentrality,0.7950905949418122,0.5715400631996609,-0.22355053174215134,loss
ToN-IoT-Network,GreedyUncertainty,0.7950905949418122,0.5715400631996609,-0.22355053174215134,loss
ToN-IoT-Network,HistGradientBoosting,0.9978255945497271,0.5715400631996609,-0.4262855313500662,loss
ToN-IoT-Network,HypergraphNN,0.8608162717081432,0.5715400631996609,-0.28927620850848235,loss
ToN-IoT-Network,LSTM,0.9717743622392382,0.5715400631996609,-0.4002342990395773,loss
ToN-IoT-Network,LightGBM,0.9983603423358565,0.5715400631996609,-0.4268202791361956,loss
ToN-IoT-Network,LinearSVM,0.5464849087550664,0.5715400631996609,0.025055154444594496,win
ToN-IoT-Network,LogisticRegression,0.8059453043240682,0.5715400631996609,-0.2344052411244073,loss
ToN-IoT-Network,MLP,0.9317367631779417,0.5715400631996609,-0.36019669997828085,loss
ToN-IoT-Network,OracleUpperBound,1.0,0.5715400631996609,-0.4284599368003391,loss
ToN-IoT-Network,PPO,0.4403179986888839,0.5715400631996609,0.131222064510777,win
ToN-IoT-Network,Protocol-role-GAT,0.9067490244596845,0.5715400631996609,-0.33520896126002364,loss
ToN-IoT-Network,RandomAcquisition,0.5102404504269334,0.5715400631996609,0.06129961277272744,win
ToN-IoT-Network,RandomForest,0.9982188606724357,0.5715400631996609,-0.4266787974727748,loss
ToN-IoT-Network,StaticThreshold,0.7950905949418122,0.5715400631996609,-0.22355053174215134,loss
ToN-IoT-Network,TCN,0.45730940582248225,0.5715400631996609,0.11423065737717863,win
ToN-IoT-Network,TransformerEncoder,0.9480842409859802,0.5715400631996609,-0.3765441777863193,loss
ToN-IoT-Network,XGBoost,0.9979080379151201,0.5715400631996609,-0.4263679747154592,loss
ToN-IoT-Network,kNN,0.9853532616279526,0.5715400631996609,-0.4138131984282917,loss
UNSW-NB15,1D-CNN,0.7996979201583457,0.6790266032408934,-0.12067131691745236,loss
UNSW-NB15,A2C,0.39000418515535823,0.6790266032408934,0.28902241808553514,win
UNSW-NB15,CNN-BiLSTM,0.8782302414361561,0.6790266032408934,-0.19920363819526277,loss
UNSW-NB15,CNN-LSTM,0.8698520025192668,0.6790266032408934,-0.1908253992783734,loss
UNSW-NB15,CQL_Offline,0.39000418515535823,0.6790266032408934,0.28902241808553514,win
UNSW-NB15,CatBoost,0.936973640658942,0.6790266032408934,-0.2579470374180486,loss
UNSW-NB15,DQN,0.6259854809294044,0.6790266032408934,0.05304112231148894,win
UNSW-NB15,DecisionTree,0.9279038822138729,0.6790266032408934,-0.2488772789729795,loss
UNSW-NB15,DoubleDQN,0.5303821717060185,0.6790266032408934,0.14864443153487483,win
UNSW-NB15,DuelingDQN,0.573015235496631,0.6790266032408934,0.10601136774426234,win
UNSW-NB15,ExtraTrees,0.9176899763272365,0.6790266032408934,-0.2386633730863431,loss
UNSW-NB15,FT-Transformer,0.6487571244238861,0.6790266032408934,0.030269478817007256,win
UNSW-NB15,GAT,0.8373582434875134,0.6790266032408934,-0.15833164024662005,loss
UNSW-NB15,GCN,0.8102579804628219,0.6790266032408934,-0.13123137722192857,loss
UNSW-NB15,GRU,0.8945339600680465,0.6790266032408934,-0.21550735682715316,loss
UNSW-NB15,GaussianNB,0.7380316565486434,0.6790266032408934,-0.05900505330775008,loss
UNSW-NB15,GradientBoosting,0.9305853531886165,0.6790266032408934,-0.2515587499477231,loss
UNSW-NB15,GraphSAGE,0.8331508362847199,0.6790266032408934,-0.1541242330438265,loss
UNSW-NB15,GreedyCentrality,0.7734909092990657,0.6790266032408934,-0.09446430605817235,loss
UNSW-NB15,GreedyUncertainty,0.7734909092990657,0.6790266032408934,-0.09446430605817235,loss
UNSW-NB15,HistGradientBoosting,0.9388987513000336,0.6790266032408934,-0.2598721480591403,loss
UNSW-NB15,HypergraphNN,0.8419541050268539,0.6790266032408934,-0.1629275017859605,loss
UNSW-NB15,LSTM,0.9031610197223863,0.6790266032408934,-0.2241344164814929,loss
UNSW-NB15,LightGBM,0.9393008061579668,0.6790266032408934,-0.2602742029170735,loss
UNSW-NB15,LinearSVM,0.8796947002283533,0.6790266032408934,-0.2006680969874599,loss
UNSW-NB15,LogisticRegression,0.7787717017727115,0.6790266032408934,-0.09974509853181812,loss
UNSW-NB15,MLP,0.8854491600280202,0.6790266032408934,-0.20642255678712684,loss
UNSW-NB15,OracleUpperBound,1.0,0.6790266032408934,-0.32097339675910663,loss
UNSW-NB15,PPO,0.392680126125894,0.6790266032408934,0.2863464771149994,win
UNSW-NB15,Protocol-role-GAT,0.8379071124597853,0.6790266032408934,-0.15888050921889196,loss
UNSW-NB15,RandomAcquisition,0.5227033813923153,0.6790266032408934,0.15632322184857805,win
UNSW-NB15,RandomForest,0.9358069729569239,0.6790266032408934,-0.2567803697160306,loss
UNSW-NB15,StaticThreshold,0.7734909092990657,0.6790266032408934,-0.09446430605817235,loss
UNSW-NB15,TCN,0.6595215939312418,0.6790266032408934,0.0195050093096516,win
UNSW-NB15,TransformerEncoder,0.8453899270013209,0.6790266032408934,-0.1663633237604275,loss
UNSW-NB15,XGBoost,0.9403248366261758,0.6790266032408934,-0.26129823338528246,loss
UNSW-NB15,kNN,0.9148061299644327,0.6790266032408934,-0.2357795267235393,loss
