dataset,seed,model,n_params,inference_latency_sec_per_sample,train_time_sec,model_size_kb,row_cap,post_determinism_fix,peak_memory_MB
CICIoT2023,8,FullAegisGraphX_backbone+RL,10131.0,0.00010451579487192993,1415.3761823177338,,100000,True,
CICIoT2023,8,DistilledStudent,8338.0,8.611866543754794e-08,73.98280262947083,32.5703125,100000,True,
UNSW-NB15,9,BestSingleTreeExpert,,6.573642094930013e-05,,,100000,True,
UNSW-NB15,9,Full9ExpertEnsemble+MoERouter,,0.0010674986680348714,1818.7546906471252,,100000,True,963.777223
UNSW-NB15,9,FullAegisGraphX_backbone+RL,9875.0,0.0010674986680348714,1875.3416197299957,,100000,True,
UNSW-NB15,9,DistilledStudent,8082.0,9.325345357259115e-08,38.815078258514404,31.5703125,100000,True,
ToN-IoT-Network,9,BestSingleTreeExpert,,1.4502042376118808e-05,,,100000,True,
ToN-IoT-Network,9,Full9ExpertEnsemble+MoERouter,,0.00029494861516684336,906.7011382579803,,100000,True,918.375186
ToN-IoT-Network,9,FullAegisGraphX_backbone+RL,9619.0,0.00029494861516684336,930.7923967838287,,100000,True,
ToN-IoT-Network,9,DistilledStudent,7826.0,1.2792797587337786e-07,38.06869912147522,30.5703125,100000,True,
CICIoT2023,9,BestSingleTreeExpert,,2.066761315524028e-06,,,100000,True,
CICIoT2023,9,Full9ExpertEnsemble+MoERouter,,7.576909843921824e-05,882.9764368534088,,100000,True,4130.009765
CICIoT2023,9,FullAegisGraphX_backbone+RL,10131.0,7.576909843921824e-05,902.4102237224579,,100000,True,
CICIoT2023,9,DistilledStudent,8338.0,6.332881639045328e-08,32.62315058708191,32.5703125,100000,True,
