accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,perturbation,dataset,seed
0.9986970279828752,0.9982053894186954,0.9984618561274656,0.9986966921297019,0.9994645247657296,0.9969462540716613,0.9986623863028358,0.0030537459283387623,0.000535475234270415,0.9998059919736856,0.999921829767798,HistGradientBoosting,classical_tree,clean_baseline,ToN-IoT-Network,42
0.8947074517590122,0.830003864535231,0.8614758448123616,0.887967674368388,0.9957161981258367,0.6642915309446255,0.8712322348898953,0.3357084690553746,0.00428380187416332,0.9622320897778591,0.9805798272357336,MLP,deep,clean_baseline,ToN-IoT-Network,42
0.9782101712558429,0.5700762865502929,0.6145431087646471,0.970659069375049,0.9991689665432086,0.14098360655737704,0.9789312854328335,0.8590163934426229,0.0008310334567913901,0.9584352860236858,0.9988220636439173,HistGradientBoosting,classical_tree,feature_noise_low,CICIoT2023,42
0.7164319530773003,0.7581689129742639,0.4761582722181432,0.8136045895857958,0.7142886456206589,0.8020491803278689,0.9931102362204725,0.19795081967213116,0.28571135437934114,0.83466967597432,0.9922647559007202,MLP,deep,feature_noise_low,CICIoT2023,42
0.9763785044390395,0.5247845468815726,0.5408676504257299,0.9661917442136216,0.9995690937631452,0.05,0.9767607398867111,0.95,0.00043090623685479483,0.8853949465059003,0.996265172997849,HistGradientBoosting,classical_tree,feature_noise_high,CICIoT2023,42
0.7734738612137044,0.6601387679546368,0.4874006714954087,0.8516335472237998,0.7792939293518965,0.5409836065573771,0.9854690763781673,0.45901639344262296,0.2207060706481035,0.7131277027298633,0.9873626906704747,MLP,deep,feature_noise_high,CICIoT2023,42
0.9862975307529852,0.7350506924521946,0.8098454928724798,0.9840735919118446,0.9991997455601268,0.47090163934426227,0.9869175736203157,0.5290983606557377,0.0008002544398731904,0.9943728409486733,0.9998575112153235,HistGradientBoosting,classical_tree,missing_features_20pct,CICIoT2023,42
0.9727451981302986,0.9081140594680881,0.7933997586893824,0.976488706164092,0.9760641845099467,0.8401639344262295,0.9959173418755103,0.1598360655737705,0.023935815490053247,0.9270783384006583,0.99631662657961,MLP,deep,missing_features_20pct,CICIoT2023,42
0.9780800528480917,0.5532273901630598,0.5903856293367407,0.9694246459095468,0.9998974032769393,0.10655737704918032,0.9781210168709039,0.8934426229508197,0.00010259672306066544,0.9687677073954912,0.9988403803613863,HistGradientBoosting,classical_tree,missing_features_50pct,CICIoT2023,42
0.9568106977349388,0.8184337760858476,0.7048568867075589,0.9642320216671612,0.963916732499564,0.6729508196721311,0.9915778364116095,0.32704918032786884,0.036083267500436035,0.7991720864927377,0.9897254694879928,MLP,deep,missing_features_50pct,CICIoT2023,42
0.9466214254972024,0.6482029299425354,0.7093424181746236,0.9341857659907981,0.9967538069971097,0.29965205288796104,0.9483659124724232,0.700347947112039,0.003246193002890298,0.6642006896380506,0.9505245038413814,HistGradientBoosting,classical_tree,label_noise_5pct,CICIoT2023,42
0.9023511395369787,0.6522783060852064,0.6469352206346084,0.9040403465744491,0.944361761787671,0.36019485038274185,0.950120440094616,0.6398051496172582,0.055638238212329064,0.6520281492080551,0.9488947391532394,MLP,deep,label_noise_5pct,CICIoT2023,42
0.997301453142025,0.9559309862118414,0.9166622945480117,0.997417489116316,0.9979275461941746,0.9139344262295082,0.9993527175588205,0.0860655737704918,0.002072453805825442,0.9994562794156158,0.9999959163876628,HistGradientBoosting,classical_tree,class_imbalance_stress,CICIoT2023,42
0.947872221260476,0.9696727870938031,0.5970024209977778,0.9674279570450617,0.9475422954990818,0.9918032786885246,0.9999350382191811,0.00819672131147541,0.05245770450091824,0.9723790770073624,0.9995923816149774,MLP,deep,class_imbalance_stress,CICIoT2023,42
0.9960964477674684,0.9604391829331529,0.9591549022989749,0.9961018909252494,0.9979275461941746,0.9229508196721311,0.9980709045200349,0.07704918032786885,0.002072453805825442,0.9994901867916306,0.9999872738837478,HistGradientBoosting,classical_tree,clean_baseline,CICIoT2023,42
0.9457005875346566,0.970172756903456,0.7219549154592368,0.9591941312011704,0.9444438744626497,0.9959016393442623,0.9998913799096281,0.004098360655737705,0.055556125537350336,0.9720175721275985,0.9986394935196878,MLP,deep,clean_baseline,CICIoT2023,42
