dataset,model,macro_f1,minority_recall,pr_auc,fpr,fnr,roc_auc,train_time_sec,inference_latency_sec_per_sample
CICIoT2023,GRU,0.782183980368187,0.7605585353332791,0.9995845734187471,0.23944146466672087,0.022783619038507202,0.9835448961485032,31.077691157658894,1.9597160348466505e-05
CICIoT2023,TCN,0.7598933179415077,0.6003799199754464,0.9912111530901931,0.39962008002455357,0.0165514813803447,0.8300781638677389,25.66626811027527,1.853167269518682e-05
CICIoT2023,GaussianNB,0.7424291642735185,0.995166446593828,0.9994408158471542,0.004833553406171867,0.04725633797656827,0.9851977083200604,0.0579024950663248,6.75141399084789e-07
CICIoT2023,1D-CNN,0.6986414076105648,0.7595632078387485,0.9945968519886564,0.24043679216125136,0.05474895045668466,0.8933910724271529,16.744763056437176,1.1755335863606023e-05
CICIoT2023,DuelingDQN,0.6225251619951587,0.5043252354918446,0.992076270489862,0.49567476450815534,0.09906538210214129,0.8232288953499504,,
CICIoT2023,DQN,0.5615053102199997,0.6486109201409526,0.9909446681941118,0.3513890798590474,0.23953023658965011,0.8559864335675954,,
CICIoT2023,DoubleDQN,0.5454577940441478,0.3831861820470475,0.9967919705512527,0.6168138179529524,0.14598041183607924,0.9017965313209205,,
CICIoT2023,LogisticRegression,0.5025655551210446,0.968682732859758,0.9983382348351514,0.03131726714024203,0.2609287624089068,0.9704867317531903,2.293196678161621,1.6261958439012975e-07
CICIoT2023,A2C,0.49390368204033946,0.0,0.9861855739968354,1.0,0.0,0.7187945532927276,,
CICIoT2023,PPO,0.49390368204033946,0.0,0.9861855739968354,1.0,0.0,0.7187945532927276,,
CICIoT2023,CQL_Offline,0.4869395450763691,0.0,0.9973405354232288,1.0,0.0,0.9721478227428423,,
CICIoT2023,C3_OfflineSafeGraphRL,0.4651761767635844,0.00053452115812916,0.9920883690217279,0.9994654788418706,0.0015826873385012801,0.9549181951186554,,
CICIoT2023,GreedyCentrality,0.46154130486516265,0.9772671334033883,0.9985237815470565,0.022732866596611435,0.33615365681241677,0.9736183571365572,,
CICIoT2023,GreedyUncertainty,0.46154130486516265,0.9772671334033883,0.9985237815470565,0.022732866596611435,0.33615365681241677,0.9736183571365572,,
CICIoT2023,StaticThreshold,0.46154130486516265,0.9772671334033883,0.9985237815470565,0.022732866596611435,0.33615365681241677,0.9736183571365572,,
CICIoT2023,RandomAcquisition,0.41914596049586433,0.3825527105616942,0.9933733137570977,0.6174472894383057,0.34016913307532803,0.8447647662683068,,
ToN-IoT-Network,OracleUpperBound,1.0,1.0,0.9272462063428281,0.0,0.0,0.863305990320038,,
ToN-IoT-Network,LightGBM,0.9983603423358565,0.9968365648077326,0.9999728543954006,0.0031634351922673666,0.0005345984931553334,0.9999103965570629,0.413939634958903,7.254082008657451e-07
ToN-IoT-Network,RandomForest,0.9982188606724357,0.9956639176994097,0.999991759646384,0.004336082300590433,0.00033953971022226666,0.9999683518487364,1.5834152698516846,7.615102819196388e-06
ToN-IoT-Network,XGBoost,0.9979080379151201,0.995603418112918,0.9999791516483111,0.0043965818870821,0.0005922776707138667,0.9999226624086269,0.26390989621480304,2.3236626819544359e-07
ToN-IoT-Network,HistGradientBoosting,0.9978255945497271,0.9949873522992182,0.999975381255755,0.0050126477007818,0.0005078430282880333,0.9999134043358131,1.9271056652069092,2.329557978331909e-06
ToN-IoT-Network,CatBoost,0.9971299923286496,0.9944980657167753,0.9999229322418692,0.005501934283224634,0.0009581565408609332,0.9997581260024262,3.53037166595459,4.77875026333471e-07
ToN-IoT-Network,DecisionTree,0.9967221844514987,0.9945614553324038,0.9979585734307402,0.0054385446675962006,0.0012990294665790666,0.996084309170404,0.252819538116455,1.1579141411823766e-07
ToN-IoT-Network,GradientBoosting,0.9943631123322082,0.9913587658250173,0.9996368859038722,0.008641234174982733,0.0024002494185652,0.9991432168928339,13.144381999969482,1.6004364788052642e-06
ToN-IoT-Network,ExtraTrees,0.9936492763238908,0.9881219096638064,0.9997284959568612,0.011878090336193468,0.0021176216371914668,0.9991735656216267,1.138415257136027,6.71072149188116e-06
ToN-IoT-Network,kNN,0.9853532616279526,0.9680582064528473,0.9978114068641807,0.031941793547152535,0.0036941283655920003,0.9955852018153287,0.004576683044433534,2.6323156046968724e-05
ToN-IoT-Network,LSTM,0.9717743622392382,0.9737649646391802,0.9981089031773945,0.0262350353608197,0.017192498122514697,0.9951049593252398,19.799826463063557,1.1096972620031217e-05
ToN-IoT-Network,GRU,0.9670385240606564,0.9723579577341547,0.9975945816686553,0.0276420422658453,0.021556367043837035,0.994276433915171,17.796852827072144,1.4711019770126085e-05
