accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,model,perturbation
0.41830332787779595,0.5387955679107274,0.4133012832389257,0.44397852007879174,0.8257609175121305,0.32601880877742945,0.32601880877742945,0.24842767295597484,0.6739811912225705,0.5623652486697379,0.8078363175514053,0.5,1195,395,3870,1872,ToN-IoT-Network,0,AegisGraphX,feature_noise_high
0.9695853791598472,0.9401066619348988,0.9538086265448662,0.9690956923225561,0.9697021276595744,0.9921630094043887,0.9921630094043887,0.1119496855345912,0.007836990595611285,0.9927507563161434,0.9976423671286149,0.5,1412,178,45,5697,ToN-IoT-Network,0,AegisGraphX,missing_features_20pct
0.8858428805237316,0.770445837687217,0.8066147086836741,0.8767096094891118,0.8903390100270572,0.9742250087077673,0.9742250087077673,0.43333333333333335,0.025774991292232673,0.9125475093594807,0.9684541645908344,0.5,901,689,148,5594,ToN-IoT-Network,0,AegisGraphX,missing_features_50pct
0.9481723949809057,0.9108888340577372,0.9268579661171791,0.9471061350225889,0.9496866295264624,0.9835917778579156,0.9835917778579156,0.1618141097424412,0.016408222142084386,0.9091986537112591,0.945933980907204,0.5,1497,289,91,5455,ToN-IoT-Network,0,AegisGraphX,label_noise_5pct
0.9980704293294742,0.995110506496323,0.9932143038996748,0.9980741214985902,0.9993028929940746,0.9986067572274469,0.9986067572274469,0.008385744234800839,0.0013932427725531174,0.99977253924337,0.9999821756725106,0.5,473,4,8,5734,ToN-IoT-Network,0,AegisGraphX,class_imbalance_stress
0.997545008183306,0.9961587245256731,0.9963844676097324,0.9975444494252061,0.9982590529247911,0.9986067572274469,0.9986067572274469,0.006289308176100629,0.0013932427725531174,0.9997797318226725,0.9999493600004092,0.5,1580,10,8,5734,ToN-IoT-Network,0,AegisGraphX,clean_baseline
0.42327896046447333,0.5805058055970465,0.41985182314583824,0.44619640030383545,0.8885068762278978,0.31438998957247133,0.31438998957247133,0.15337837837837837,0.6856100104275287,0.6700588427322004,0.8684165831156625,0.655,1253,227,3945,1809,ToN-IoT-Network,1,AegisGraphX,feature_noise_low
0.3519491291125242,0.5288920046219316,0.3518396878402016,0.3568157729243168,0.8386277001270648,0.22940563086548488,0.22940563086548488,0.17162162162162162,0.7705943691345151,0.5865828941558868,0.8303745676068174,0.655,1226,254,4434,1320,ToN-IoT-Network,1,AegisGraphX,feature_noise_high
0.964058612109483,0.9237054833770162,0.942304445432602,0.9632358520910866,0.9638635596082404,0.992005561348627,0.992005561348627,0.1445945945945946,0.007994438651372959,0.9893699682477055,0.9968078782628973,0.655,1266,214,46,5708,ToN-IoT-Network,1,AegisGraphX,missing_features_20pct
0.8805640033176666,0.7306928670067356,0.77476025075073,0.8659674388247693,0.8797763280521901,0.9843587069864442,0.9843587069864442,0.522972972972973,0.01564129301355579,0.9089451873667203,0.9696876239953337,0.655,706,774,90,5664,ToN-IoT-Network,1,AegisGraphX,missing_features_50pct
