accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,ablation,dataset,seed,model
0.7184596324592195,0.5,0.41808350856112947,0.6007522477961801,1.0,0.0,0.7184596324592195,1.0,0.0,0.9010025349902908,0.9591899791165965,2370.749333402287,7.824255225750122,0.0,0.0,0.0,0.0,0.0,0.0,no_graph_encoder,ToN-IoT-Network,0,C3_OfflineSafeGraphRL
0.7835019615940533,0.6669140952510733,0.6854968231784158,0.7622043774182861,0.9337548498347463,0.4000733406674001,0.7988689451684288,0.5999266593325999,0.06624515016525363,0.9010025349902908,0.9591899791165965,4840.839999999998,31.847631578947357,0.0,0.0,0.0,0.0,0.0,0.0,no_rl_policy,ToN-IoT-Network,0,C3_OfflineSafeGraphRL
0.7927008953870566,0.5,0.4421824619080736,0.701036866957966,1.0,0.0,0.7927008953870566,1.0,0.0,0.9336954130643575,0.9674909421357496,3686.345330009634,13.356323659455196,0.0,0.0,0.0,0.0,0.0,0.0,full_method,ToN-IoT-Network,1,C3_OfflineSafeGraphRL
0.7927008953870566,0.5,0.4421824619080736,0.701036866957966,1.0,0.0,0.7927008953870566,1.0,0.0,0.9336954130643575,0.9674909421357496,3686.345330009634,13.356323659455196,0.0,0.0,0.0,0.0,0.0,0.0,no_graph_encoder,ToN-IoT-Network,1,C3_OfflineSafeGraphRL
0.8927802334806755,0.8286024434284296,0.8341116803327562,0.8918633626291166,0.9382327709465256,0.7189721159103335,0.92736009044658,0.2810278840896665,0.061767229053474405,0.9336954130643575,0.9674909421357496,6769.869999999998,49.05702898550723,0.0,0.0,0.0,0.0,0.0,0.0,no_rl_policy,ToN-IoT-Network,1,C3_OfflineSafeGraphRL
,,,,,,,,,,,4666.389966186016,17.030620314547505,0.0,0.0,0.0,0.0,0.0,0.0,full_method,ToN-IoT-Network,2,C3_OfflineSafeGraphRL
0.914099674430253,0.8795436739706592,0.8792562724014337,0.9141321624507927,0.9438110749185668,0.8152762730227519,0.9444263363754889,0.1847237269772481,0.05618892508143322,0.9184608150027702,0.9618593734064679,-10966.529088386838,-40.02382878973299,3.570792418360356,12.0,0.0,0.0,0.08803379767070107,3.1957067823704044,no_graph_encoder,ToN-IoT-Network,2,C3_OfflineSafeGraphRL
0.8971226307376113,0.8690180355217089,0.8605967730039294,0.8982551523135608,0.922272047832586,0.8157640232108317,0.9418409403144558,0.18423597678916828,0.07772795216741404,0.9132657073550119,0.959271441614272,6308.019999999994,46.04394160583937,0.0,0.0,0.0,0.0,0.0,0.0,no_rl_policy,ToN-IoT-Network,2,C3_OfflineSafeGraphRL
0.9541948980547663,0.5,0.488280313803186,0.9318291685031607,1.0,0.0,0.9541948980547663,1.0,0.0,0.961633868314079,0.9961633674161563,25157.680890267482,13.417429808142657,0.0,0.0,0.0,0.0,0.46597635602687876,0.0,full_method,CICIoT2023,0,C3_OfflineSafeGraphRL
0.9534492606460621,0.5,0.4880849888728253,0.9307285435464735,1.0,0.0,0.9534492606460621,1.0,0.0,0.9617111106709917,0.9961257346546091,24690.33350326184,13.168177868406316,0.0,0.0,0.0,0.0,0.4745302052590332,0.0,no_graph_encoder,CICIoT2023,0,C3_OfflineSafeGraphRL
0.7609090757507545,0.8544348929342303,0.5126108649122281,0.8432710412625106,0.7560395971892151,0.9528301886792453,0.9984195077895688,0.04716981132075472,0.24396040281078493,0.9568196618536191,0.9973012687492673,14398.469999999934,15.350181236673704,0.0,0.0,0.0,0.0,0.0,0.0,no_rl_policy,CICIoT2023,0,C3_OfflineSafeGraphRL
0.8193173386099432,0.5388746703460007,0.5358758778461308,0.7723537036329354,0.969007336427609,0.10874200426439233,0.8376909137975667,0.8912579957356077,0.030992663572391076,0.934554975214829,0.9858080618604776,3325.929342656694,1.7747755296994099,0.0,0.0,0.0,0.0,0.8651434289526351,0.0,full_method,CICIoT2023,1,C3_OfflineSafeGraphRL
0.82134630151011,0.5,0.45095559302979205,0.7407814169606362,1.0,0.0,0.82134630151011,1.0,0.0,0.9342121593905394,0.9853724442221676,3265.0561658640913,1.7422925111334533,0.0,0.0,0.0,0.0,0.8696797865243495,0.0,no_graph_encoder,CICIoT2023,1,C3_OfflineSafeGraphRL
0.672631754503002,0.8255523943332161,0.46322090190522425,0.7821655237358093,0.6648034188034188,0.9863013698630136,0.9994860065277171,0.0136986301369863,0.3351965811965812,0.9806524997072943,0.9990275161052103,-8466.299999999983,-9.03553895410884,0.0,0.0,0.0,0.0,0.0,0.0,no_rl_policy,CICIoT2023,1,C3_OfflineSafeGraphRL
0.9239177256084428,0.5,0.480227253645294,0.8873809439262975,1.0,0.0,0.9239177256084428,1.0,0.0,0.9733453404272193,0.9967162082173,13025.940520605853,6.947168277656455,0.0,0.0,0.0,0.0,0.6903221503368239,0.0,full_method,CICIoT2023,2,C3_OfflineSafeGraphRL
0.9227613369071713,0.5,0.47991465149359885,0.885693370827145,1.0,0.0,0.9227613369071713,1.0,0.0,0.9732070930854104,0.9966669678773601,12763.16795231179,6.807022907899621,0.0,0.0,0.0,0.0,0.6951744147268726,0.0,no_graph_encoder,CICIoT2023,2,C3_OfflineSafeGraphRL
0.7635563262856,0.864795819847161,0.5144025897555223,0.8453122523093435,0.7583784799958984,0.9712131596984236,0.9990544161019429,0.02878684030157642,0.24162152000410164,0.9730898977043196,0.9985198268589683,15035.87999999996,16.02972281449889,0.0,0.0,0.0,0.0,0.0,0.0,no_rl_policy,CICIoT2023,2,C3_OfflineSafeGraphRL
