accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,component,split,row_cap,post_determinism_fix,note,train_time_sec
0.9569215876089061,0.9448078344926377,0.9385004127480144,0.9572218190121979,0.9777957569219705,0.9665866879943126,0.9665866879943126,0.07697101900903708,0.033413312005687375,0.9573496788793027,0.9799280617264832,0.43,2962,247,376,10877,ToN-IoT-Network,0,No_ContrastiveLearning,val,100000,True,,8.610947132110596
0.9510717931269139,0.9294686971314146,0.9223016579911023,0.9514739701445807,0.9747363048656006,0.9644811042841511,0.9644811042841511,0.10554371002132196,0.03551889571584883,0.9485386562922878,0.9798153460113808,0.43,2517,297,422,11459,ToN-IoT-Network,0,No_ContrastiveLearning,test,100000,True,,8.610947132110596
0.9865855345042179,0.9772349201045436,0.9804451279009414,0.986540072461252,0.9887739768408026,0.9940460321691993,0.9940460321691993,0.03957619196011219,0.005953967830800676,0.985686002585869,0.989768830361276,0.27,3082,127,67,11186,ToN-IoT-Network,0,No_HardClassMining,val,100000,True,,15.78065800666809
0.9818986049676761,0.9646690316259314,0.9704080574642703,0.9817856695876055,0.9851307326037925,0.9925932160592543,0.9925932160592543,0.06325515280739161,0.007406783940745729,0.9820018518156269,0.9893033955313424,0.27,2636,178,88,11793,ToN-IoT-Network,0,No_HardClassMining,test,100000,True,,15.78065800666809
0.9832664914949523,0.9712038840817963,0.9755459511441671,0.9831885830149173,0.9857079841199824,0.992890784679641,0.992890784679641,0.05048301651604861,0.007109215320359016,0.9890161072521167,0.9918408480267016,0.095,3047,162,80,11173,ToN-IoT-Network,0,PlainKD_NoHardClassExtras,val,100000,True,,7.730652332305908
0.9808097992514461,0.9645380836866804,0.9687319985969205,0.9807225185284417,0.9854356742278396,0.9909098560727212,0.9909098560727212,0.06183368869936034,0.00909014392727885,0.986004916559722,0.9919988644017677,0.095,2640,174,108,11773,ToN-IoT-Network,0,PlainKD_NoHardClassExtras,test,100000,True,,7.730652332305908
0.9943545803971813,0.912852955217632,0.9341734516807647,0.9942084179473025,0.995931718286824,0.9982991454742925,0.9982991454742925,0.17259323503902863,0.001700854525707494,0.9987265385149735,0.9999700555307238,0.09999999999999999,1908,398,166,97432,CICIoT2023,0,Full_AegisGraphX_backbone,val,100000,True,,
0.9942053062981014,0.9158133678221225,0.9352110359939734,0.9940698024993412,0.9959178244766835,0.9981542815540949,0.9981542815540949,0.16652754590984975,0.0018457184459050686,0.9986772351137679,0.9999676877291187,0.09999999999999999,1997,399,180,97343,CICIoT2023,0,Full_AegisGraphX_backbone,test,100000,True,,
0.9963565022421524,0.9693436518638228,0.9603766879886283,0.9963912726508848,0.9986052140381104,0.9976638865550523,0.9976638865550523,0.05897658282740677,0.0023361134449476424,0.9994482695508295,0.9999870232131846,0.48500000000000004,2170,136,228,97370,CICIoT2023,0,No_ExpertEnsemble_BestSingleExpert,val,100000,True,CatBoost,
0.9960267816931715,0.9662101369452216,0.9582805968826662,0.9960605396707908,0.9983989819167061,0.9975287880807604,0.9975287880807604,0.0651085141903172,0.002471211919239564,0.9993821927405611,0.999984896776422,0.48500000000000004,2240,156,241,97282,CICIoT2023,0,No_ExpertEnsemble_BestSingleExpert,test,100000,True,CatBoost,
