macro_f1,balanced_accuracy,fpr,fnr,minority_recall,mean_realized_reward,commit_rate,isolation_rate,abstention_rate,escalation_rate,n_flows,dataset,seed,split,model,mean_expected_reward
0.9984483031900436,0.9976442151520292,0.0046246887228744,8.688097306689835e-05,0.9953753112771256,1.7410494042227027,0.9979095533412304,0.0,0.0020904466587694,0.0,14351,ToN-IoT-Network,3,val,AnalyticDecisionTheoretic,1.739473581314087
0.9990337893198652,0.9986383813190032,0.0026357406431207,8.749671887304226e-05,0.9973642593568792,1.6447937131630652,0.9969220694171578,0.0,0.0030779305828421,0.0,15270,ToN-IoT-Network,3,test,AnalyticDecisionTheoretic,1.6437625885009766
0.9960217988009415,0.9971052835127614,0.0034399724802201,0.0023494604942568,0.9965600275197798,1.7220790020790024,0.9978516978516978,0.0,0.0021483021483021,0.0,14430,ToN-IoT-Network,4,val,AnalyticDecisionTheoretic,1.7262660264968872
0.9968956727608242,0.9980928873170252,0.0017806267806267,0.0020335985853227,0.9982193732193732,1.5569265033407576,0.8983773464842507,0.0,0.1016226535157492,0.0,15715,ToN-IoT-Network,4,test,AnalyticDecisionTheoretic,1.5592745542526243
0.9975191812032208,0.9981566843082132,0.001977959875671,0.0017086715079026,0.9980220401243288,1.6712013093289693,0.9979705400981996,0.0,0.0020294599018003,0.0,15275,ToN-IoT-Network,5,val,AnalyticDecisionTheoretic,1.673163890838623
0.9961436932568086,0.997140611892444,0.0034025178632187,0.002316258351893,0.9965974821367812,1.7126065816362488,0.998097385666972,0.0,0.0019026143330279,0.0,14191,ToN-IoT-Network,5,test,AnalyticDecisionTheoretic,1.7166554927825928
0.9967174837508936,0.9972534801755096,0.0026369168356997,0.0028561228132809,0.9973630831643002,1.5329051383399213,0.9964179841897232,0.0,0.0035820158102766,0.0,16192,ToN-IoT-Network,6,val,AnalyticDecisionTheoretic,1.5333068370819092
0.9945191966780542,0.9953704684193908,0.0064171122994652,0.0028419508617528,0.9935828877005348,1.713543788187373,0.9974541751527496,0.0,0.0025458248472505,0.0,13748,ToN-IoT-Network,6,test,AnalyticDecisionTheoretic,1.718172907829285
0.9941086756844258,0.9969168356311372,0.0021731256791017,0.0039932030586236,0.9978268743208982,1.736087851750172,0.9973232669869596,0.0,0.0026767330130404,0.0,14570,ToN-IoT-Network,7,val,AnalyticDecisionTheoretic,1.7429662942886353
0.9982498217329556,0.9973586356260008,0.0051921079958463,9.062075215224288e-05,0.9948078920041536,1.720270851246776,0.997707079392376,0.0,0.0022929206076239,0.0,13956,ToN-IoT-Network,7,test,AnalyticDecisionTheoretic,1.718387007713318
0.998356812325901,0.9973730297723292,0.0052539404553415,0.0,0.9947460595446584,1.7355637476525008,0.9975655560965432,0.0,0.0024344439034569,0.0,14377,ToN-IoT-Network,8,val,AnalyticDecisionTheoretic,1.7343909740447998
