accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_benign,recall_benign,f1_benign,precision_attack,recall_attack,f1_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,threshold_key,tn,fp,fn,tp,dataset,seed,candidate,split,attack_recall,cumulative_reward,cumulative_reward_per_window,avg_detection_delay,telemetry_cost,escalation_rate,isolation_rate,abstention_rate,budget_violation_rate,calibration_violation_rate,commit_rate
0.9973735139618468,0.9948357899087825,0.9959558847003149,0.997370535053756,,,,0.9975707096998091,,,0.9905405405405405,0.00945945945945946,0.0008689607229753215,0.9997868697686216,0.9999436210743713,,,,,,,ToN-IoT-Network,1,B_BudgetedRLInvestigation,test,0.9991310392770246,12403.110000000022,108.79921052631599,0.0,0.0,0.0,0.0,0.0,0.0,0.0006911805363560963,1.0
0.9983707231482641,0.9978601657210253,0.9980437651419041,0.99837042245114,,,,0.9985770188545002,,,0.9966101694915255,0.003389830508474576,0.0008898380494749955,0.999724602664688,0.9998981655998642,,,,,,,ToN-IoT-Network,1,C_SafetyShieldedRL,val,0.999110161950525,12387.210000000023,99.09768000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0005013159543802481,1.0
0.9973735139618468,0.9948357899087825,0.9959558847003149,0.997370535053756,,,,0.9975707096998091,,,0.9905405405405405,0.00945945945945946,0.0008689607229753215,0.9997868697686216,0.9999436210743713,,,,,,,ToN-IoT-Network,1,C_SafetyShieldedRL,test,0.9991310392770246,12403.110000000022,108.79921052631599,0.0,0.0,0.0,0.0,0.0,0.0,0.0006911805363560963,1.0
0.9972744617061869,0.9953362306786699,0.9961561509965302,0.9972722013510386,0.99644128113879,0.9917355371900827,0.9940828402366864,0.997523000707714,0.9989369241672572,0.998229461756374,0.9989369241672572,0.008264462809917356,0.0010630758327427356,0.9998615198344597,0.9999569936421018,0.385,temperature,1680.0,14.0,6.0,5638.0,ToN-IoT-Network,2,A_TreeGuidedGraphMoE,val,,,,,,,,,,,
0.9982622644031547,0.996329667630156,0.9974930028581463,0.9982602224444203,0.9993986770895971,0.992831541218638,0.9961042852861852,0.9979374355448608,0.9998277940416739,0.9988817204301075,0.9998277940416739,0.007168458781362007,0.00017220595832615808,0.9999493874961192,0.9999851496697295,0.385,temperature,1662.0,12.0,1.0,5806.0,ToN-IoT-Network,2,A_TreeGuidedGraphMoE,test,,,,,,,,,,,
0.9967293540474244,0.9951884418010957,0.9953931077635887,0.9967286778094264,,,,0.9976974849450939,,,0.9923258559622196,0.007674144037780401,0.0019489723600283487,0.9998615198344597,0.9999569935528949,,,,,,,ToN-IoT-Network,2,B_BudgetedRLInvestigation,val,0.9980510276399717,12205.300000000017,106.13304347826102,0.0,0.0,0.0,0.0,0.0,0.0,0.0010902153175252113,0.9959116925592805
0.9982620320855615,0.9967530479065037,0.9974939771307116,0.9982607337555244,,,,0.99828001375989,,,0.9940227136879857,0.005977286312014346,0.0005166178749784743,0.9999493572435766,0.9999851496697295,,,,,,,ToN-IoT-Network,2,B_BudgetedRLInvestigation,test,0.9994833821250215,12586.900000000018,107.58034188034203,0.0,0.0,0.0,0.0,0.0001336719689881032,0.0,0.0004010159069643096,0.9911776500467852
0.9967293540474244,0.9951884418010957,0.9953931077635887,0.9967286778094264,,,,0.9976974849450939,,,0.9923258559622196,0.007674144037780401,0.0019489723600283487,0.9998615198344597,0.9999569935528949,,,,,,,ToN-IoT-Network,2,C_SafetyShieldedRL,val,0.9980510276399717,12205.300000000017,106.13304347826102,0.0,0.0,0.0,0.0,0.0,0.0,0.0010902153175252113,0.9959116925592805
0.9982620320855615,0.9967530479065037,0.9974939771307116,0.9982607337555244,,,,0.99828001375989,,,0.9940227136879857,0.005977286312014346,0.0005166178749784743,0.9999493572435766,0.9999851496697295,,,,,,,ToN-IoT-Network,2,C_SafetyShieldedRL,test,0.9994833821250215,12586.900000000018,107.58034188034203,0.0,0.0,0.0,0.0,0.0001336719689881032,0.0,0.0004010159069643096,0.9911776500467852
0.9956579157995838,0.9463753012229976,0.9508167378590466,0.9956363028761648,0.9131602506714414,0.8947368421052632,0.9038546743464776,0.9975439530076342,0.9980137603407322,0.9977788013716158,0.9980137603407322,0.10526315789473684,0.001986239659267753,0.9990013837936638,0.999976802019723,0.18000000000000002,temperature,1020.0,120.0,97.0,48739.0,CICIoT2023,0,A_TreeGuidedGraphMoE,val,,,,,,,,,,,
