accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,train_time_sec,inference_latency_sec_per_sample,peak_memory_MB,seed,eval_split,dataset,row_cap,post_determinism_fix
0.9444666666666667,0.9422651273468674,0.940078988984504,0.9445996265964292,0.9501616098425607,0.934368644851174,0.9625052809463456,0.06563135514882604,0.049838390157439266,0.9910079701075525,0.9950863623878909,HistGradientBoosting,classical_tree,2.1991770267486572,2.5039196014404297e-06,63.40009,1,test,UNSW-NB15,100000,True
0.946,0.94414937557297,0.9417583781268128,0.9461404094197152,0.9507871963298926,0.9375115548160473,0.9642592788410701,0.06248844518395267,0.04921280367010739,0.9912905577055151,0.9952381329672522,XGBoost,classical_tree,0.49845290184020996,3.3882459004720053e-07,0.564046,1,test,UNSW-NB15,100000,True
0.9422666666666667,0.9482432718369904,0.9386457469855272,0.9428012590894034,0.9268063809821708,0.9696801626918099,0.9818844581906551,0.030319837308190052,0.07319361901782921,0.9914851499157085,0.9953523877872255,LightGBM,classical_tree,0.6137561798095703,7.412592569986979e-07,4.137569,1,test,UNSW-NB15,100000,True
0.9416,0.9388142528008989,0.9369440083524907,0.9417210831978989,0.9488061724533416,0.9288223331484563,0.959409594095941,0.07117766685154372,0.05119382754665833,0.9904346122079886,0.9947618167548917,CatBoost,classical_tree,9.134214878082275,5.667686462402344e-07,0.843036,1,test,UNSW-NB15,100000,True
0.8541234439834025,0.7693826933575779,0.7802217844896768,0.8510001403956757,0.9219674864526887,0.6167979002624672,0.8938010183463995,0.38320209973753283,0.07803251354731137,0.8590595065432021,0.8933742782954562,LogisticRegression,classical_tree,2.819976806640625,2.3124623595431632e-07,3.451825,1,test,ToN-IoT-Network,100000,True
0.803228734439834,0.5625535744394323,0.5566253084711915,0.7402647892020784,0.9959149645685702,0.12919218431029456,0.8000267881060809,0.8708078156897054,0.0040850354314297625,0.8207829134599803,0.9007524610316964,LinearSVM,classical_tree,106.36297273635864,8.417764887275537e-07,26.79016,1,test,ToN-IoT-Network,100000,True
0.7782676348547718,0.549004366673146,0.5427147786973479,0.7249863022605361,0.961817423926636,0.13619130941965588,0.7957100489688944,0.8638086905803442,0.0381825760733639,0.7719630676289128,0.8732813328959228,GaussianNB,classical_tree,0.041350603103637695,1.007976992001672e-06,34.063385,1,test,ToN-IoT-Network,100000,True
0.9919605809128631,0.9863965628723255,0.9883287679525402,0.9919445408277291,0.9964151729887453,0.9763779527559056,0.9932685115931189,0.023622047244094488,0.0035848270112546895,0.9970106505201508,0.9984861640313528,kNN,classical_tree,0.007066249847412109,2.9159099234584952e-05,6.679732,1,test,ToN-IoT-Network,100000,True
0.9979901452282157,0.9968334356287998,0.9970922489293592,0.9979896214291849,0.9989162150896207,0.994750656167979,0.9985,0.005249343832020997,0.0010837849103793246,0.9961820754759413,0.9977978172608086,DecisionTree,classical_tree,0.2560243606567383,1.4568822017843792e-07,15.822678,1,test,ToN-IoT-Network,100000,True
0.9988329875518672,0.9976877212982809,0.9983103949634347,0.9988322564827298,0.9997498957899125,0.9956255468066492,0.9987507287415675,0.004374453193350831,0.00025010421008753647,0.9999840752155528,0.999995429884108,RandomForest,classical_tree,2.3093557357788086,9.63823800265047e-06,200.193813,1,test,ToN-IoT-Network,100000,True
0.9966934647302904,0.9941253956427601,0.9952082807446616,0.9966898326278452,0.9987494789495623,0.989501312335958,0.9970039946737683,0.010498687664041995,0.0012505210504376823,0.9992229677695735,0.9997269158018045,ExtraTrees,classical_tree,1.9309742450714111,1.1480154461880442e-05,171.727287,1,test,ToN-IoT-Network,100000,True
